RS	-0.162080799
RT	-0.182350942
RV	-0.188082103
RW	0.025108581
RY	-0.094654646
SA	-0.107308046
SC	-0.009823122
SD	-0.14324026
SE	-0.179291283
SF	-0.006079835
SG	-0.075023858
SH	-0.135694192
SI	0.032905542
SK	-0.019137532
SL	-0.059233145
SM	-0.008725119
SN	0.152772474
SP	-0.139281605
SQ	-0.028020998
SR	-0.162080799
SS	1
ST	0.080647991
SV	-0.062466714
SW	-0.058530241
SY	0.054565582
TA	0.001951524
TC	-0.084306013
TD	-0.01883766
TE	-0.140142566
TF	-0.108136456
TG	0.048117553
TH	-0.125130872
TI	-0.06747824
TK	-0.022059662
TL	-0.181699308
TM	-0.088156898
TN	0.110131322
TP	0.001544721
TQ	-0.031843494
TR	-0.182350942
TS	0.080647991
TT	1
TV	-0.001120695
TW	-0.089992471
TY	-0.060670247
VA	0.070270158
VC	-0.083841906
VD	-0.139204995
VE	-0.189205864
VF	0.0010795
VG	0.220710096
VH	-0.195211083
VI	0.049063748
VK	-0.07752057
VL	-0.056139647
VM	0.068870152
VN	-0.124451107
VP	-0.033718389
VQ	-0.234087493
VR	-0.188082103
VS	-0.062466714
VT	-0.001120695
VV	1
VW	-0.111752656
VY	-0.176687571
WA	-0.048430315
WC	0.014492298
WD	-0.156015223
WE	-0.233140385
WF	0.197192411
WG	-0.000336613
WH	0.041660501
WI	-0.063472825
WK	-0.252010056
WL	0.205312548
WM	0.016402519
WN	-0.164328037
WP	0.108259396
WQ	-0.053064633
WR	0.025108581
WS	-0.058530241
WT	-0.089992471
WV	-0.111752656
WW	1
WY	0.114658249
YA	-0.29140154
YC	0.021798986
YD	0.075188828
YE	-0.076625707
YF	0.148310118
YG	-0.072845581
YH	0.019779478
YI	0.009699227
YK	0.116829846
YL	-0.155644927
YM	-0.069131261
YN	0.201378003
YP	-0.058091788
YQ	-0.096598651
YR	-0.094654646
YS	0.054565582
YT	-0.060670247
YV	-0.176687571
YW	0.114658249
YY	1
